"Folder","XmlAnimFileCount","XmlColorFileCount","XmlFontFileCount","XmlInterpolatorFileCount","XmlDrawableFileCount","XmlTransitionFileCount","LayoutCount","LayoutAvgMaxDepth","LayoutMaxDepth","LayoutAvgElementCount","LayoutTotalElementCount","LayoutAvgAttributeCount","LayoutTotalAttributeCount","StringCount","StyleCount","DrawableDensityFolderCount","ValueLocaleFolderCount"
"/Benign/72798091eb568972af7e721f716db811c1b6a4f59f5903dd35d56d50ac206282",34,0,0,0,50,0,288,1.6,6,5.8,1684,9.1,2620,994,672,16,15
"/Benign/9300a0ed118c6e4950fcd00662748eb1335bafbd90aeb287d641acfc4f262605",36,0,0,2,58,0,410,1.7,7,8.5,3505,12.7,5198,1226,436,18,76
"/Benign/1edda17f72b135283ccfa94cb754461b5971c197ec04244031a2b783468e274b",10,0,0,0,18,0,83,1.7,6,5.5,453,9.3,769,22,319,15,40
"/Benign/7515e5eb957d0322a9220369d835160522c217f7aaa273b72dbbe4c76fa75677",24,0,0,0,31,0,302,1.6,7,6.1,1846,10.8,3247,1038,433,18,51
"/Benign/4df0bb632dfb0a43a399364b08fc4f764dad09d993f86d84876c6cf43e4924b0",21,0,0,0,19,0,343,1.6,7,5.0,1700,8.0,2738,1824,580,15,73
"/Benign/ceb4103059dfd43d703013de72e93418354924f7e3132a3403a293bfb38dcf5d",14,0,0,0,12,0,60,0.8,4,3.4,203,5.5,329,22,321,14,40
"/Benign/16b9f67d519d893c7d787d3d5c8dfde3313969eb698652d8c9ee048a4413fb94",45,0,0,0,56,0,289,1.8,7,5.4,1568,8.6,2481,529,550,16,51
"/Benign/6f0044353c041c1c75ead2352e51b8d0f2b6537700970a4be346a6b1af7ebab0",16,0,0,4,30,0,129,1.6,7,4.9,633,9.2,1184,207,389,14,71
"/Benign/c9d662afb58f955d70bedd5a33fe9717e52c165e571e0b1216f8890b9b858586",49,5,0,0,94,0,563,2.2,8,7.3,4117,16.6,9330,1602,438,16,76
"/Benign/dc47c2ed5d736e61363164a9aa5ca002b65fa722f0e002e57e89f4387604a94b",23,0,0,0,24,0,223,1.7,7,6.1,1356,11.4,2542,791,416,13,50
"/Benign/193636c2e5fdeb89194fb74a7e481c91250404f303482a1e1588489aecb37e78",29,0,0,0,37,1,280,1.8,7,5.8,1636,11.8,3314,745,449,17,52
"/Benign/68966dbaf63537ede750f932204d43b4f072cc5bb13d277c666b92e28f6385c2",12,0,0,2,27,0,126,1.3,5,5.2,654,8.8,1114,491,389,13,42
"/Benign/7d34be6ca0629191e63d836e0e3b8f87a9ea527eaa2326b00b25dff2d0f23a1a",8,0,0,0,25,0,802,1.4,6,5.0,4029,4.8,3833,1050,573,14,66
"/Benign/aeef3a34588a38aeb785d1536d29f87e5b719569475ca85477b2684de96fe070",0,0,0,0,0,0,1,0.0,0,1.0,1,0.0,0,38,5,5,44
"/Benign/edafe95ae4fb186e20eb8431c52d34daa5deba773a65be7adb7215839c7e6e1c",12,0,0,0,8,0,41,1.2,4,5.3,216,9.3,380,125,249,12,40
"/Benign/0fed35d444746667b0fe32fed8972a49c11b774983b4ae8eaedc3e9e1f328ec9",10,0,0,0,14,0,42,0.9,4,3.5,148,6.2,260,40,308,13,40
"/Benign/ab1d0a021058d844a0223104245a559b4c60e06faa77f2f2d9c4c7e8bc8f1210",12,0,0,0,22,0,102,1.5,5,5.2,530,9.1,929,163,386,17,71
"/Benign/6955e94bc0a4d220a3302b906f781baf08dc0ae0ff10186ac13e10fc0f89991c",47,0,0,0,53,2,399,1.9,7,7.0,2794,14.1,5630,473,493,15,72
"/Benign/24bf2c29b1d06f3693ce4a3bde84648ccb8bbf39cfd8b598e816262f2087fcbf",0,0,0,0,0,0,6,1.0,2,2.8,17,4.5,27,43,8,5,41
"/Benign/ba09c4b44995f6d0d775265830951c9366b635fa2124ffdf04547e58c054aa4c",16,0,0,0,13,0,124,1.5,5,5.2,645,9.4,1165,127,338,11,50
"/Benign/72b96d0d90c36df9cc73f76ada823169a21343176a4756bf6c095f415552d3b0",28,0,0,0,35,0,274,1.4,6,5.2,1415,7.8,2141,886,463,21,40
"/Benign/2cf04535e60fe985bdd2304fcdee610fce11fcf290761682a546b1e3e67e3b61",16,0,0,0,17,0,50,1.6,9,7.7,387,16.5,827,104,308,12,40
"/Benign/a4d95e5cacf1f3a9802765815af96ff1c593ac93ae9753c6a70ab13cf2a4ced4",10,0,0,0,14,0,59,1.0,4,4.0,236,6.9,406,68,309,15,40
"/Benign/a6f03e979281eba000fa229a4590e3054fd839f7ad0833ecb823d74d7d7efba7",5,0,0,0,20,0,60,1.3,6,4.2,252,8.6,513,299,139,16,44
"/Benign/4efee444ade5392c6688baade6b9d78c9d41f864860f84d784c821d5849c7f08",16,0,0,0,3,0,190,2.0,7,8.6,1641,10.7,2036,830,52,45,30
"/Benign/a49eaf3d20c48cebfb04c2f9ebca1fb8438b9ebdc83f5ea2552fe1ae2679eefa",18,0,0,0,19,0,89,1.1,5,4.1,365,7.0,624,74,360,17,40
"/Benign/57f20a4b11a6face7ccc694324cae08eaccc92049d7e8450f455a5ed0c05e984",38,0,0,4,58,0,288,1.4,5,4.8,1390,8.6,2464,1029,461,15,73
"/Benign/0230de75c8b59896c88f1c424a3f9010480ef15881dd39f4d7b232dd81979dd4",0,0,0,0,2,0,192,2.6,8,16.8,3216,16.2,3119,307,54,3,0
"/Benign/219d3bc411b26242afb5ea275440cbf226f278e07fa9cd0a93fdd88821137384",11,0,0,0,19,0,235,2.4,9,11.1,2615,21.3,5003,907,366,14,53
"/Benign/2fb87cccaefdbe5a2ba61e1dd08fe588e5c23ef45ce36f188fd2bd29879292c0",18,0,0,0,18,0,113,1.1,4,4.3,482,7.3,828,217,353,14,74
"/Benign/a55b23704b4d48834e2fcf00601e5dba89df4f3f842952370588770b6833fa83",18,0,0,0,18,0,110,1.3,5,4.0,436,7.2,797,43,347,12,40
"/Benign/269ccce1db55f65a7e4f882608fb4ce544fd713233cb4f5c94fb99e032398034",44,0,0,0,41,0,540,1.8,7,7.3,3961,11.1,5986,1931,586,12,13
"/Benign/424e0db8b96e2a8af4f830a8c88188d788a1ffca7610bffd8702cf18ed743f01",25,0,0,0,22,0,128,1.1,4,3.8,490,6.2,798,467,410,25,42
"/Benign/dac7d5c00cb54a19e4c1f4887544742ca88aa98a3776b0e0224f259aa219188b",23,0,0,0,28,0,228,2.1,6,7.2,1653,14.8,3365,474,379,23,72
"/Benign/894925bbf62f699e821f9ce96344b74fb9b39434c6ba21be25312bc4a772135b",0,0,0,0,5,0,37,3.1,6,16.7,619,25.8,954,230,10,7,41
"/Benign/ba6f1f2b1f29c62371db33b54aa73d5b9913f59db05a3eff06906d062164c6ef",23,0,0,0,24,1,148,1.3,6,4.9,722,9.7,1440,272,387,15,71
"/Benign/27cd2cc16acffaafc46ad4ef29f87f8bc4c9491b4c0644628e3c2b630e76df89",6,0,0,0,7,0,61,1.0,3,3.2,197,6.0,363,111,160,5,42
"/Benign/3112daba3b3d19cfbbce0a884ab97df2a251b7ff44c42c8cfb3dc90032ed48f2",19,0,0,0,26,0,206,2.2,9,10.3,2115,25.7,5304,142,414,15,50
"/Benign/a30604df183267a10e84b5ab5c6ce268af87cd1c95919630e05ccc8adf130c97",4,0,0,0,6,0,44,1.6,4,6.8,297,10.4,459,162,33,5,35
"/Benign/33b25014eaf4eb0c91f8f1ff0ad7c728bd4621fe094c05bf1148496d9cd0e32a",0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,20,1,5,0
"/Benign/14d7d122588d280009a5d55715a8e6c9b0edcf7ec0af54712bfa65270bbf2f33",23,0,0,0,26,0,380,2.2,8,8.9,3367,18.3,6956,202,363,21,40
"/Benign/f26fa6f455a9a9f7c4ef880b6f24acdd5cef0c221ab7a5e77fc3a24de1ed7c45",3,0,0,0,1,0,10,2.5,5,5.6,56,16.4,164,36,3,6,41
"/Benign/3455ecb483f87f25324930c44b94ad23038cf0dcde932db3974b9273d9ff68ac",39,0,0,6,49,0,460,1.7,6,6.5,3004,9.3,4288,1178,719,15,51
"/Benign/31eb360d40bbe8811daddc3760f027749288d1f3e26669f734e284ebb0b5730c",46,0,0,0,27,0,191,1.3,4,4.7,900,8.3,1586,233,431,15,42
"/Benign/3238b58377d7523adffaeb462c12e43e358541f34de66433b11fe3fbb6136c20",0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,9,1,6,0
"/Benign/2b87f2eb94c4f6fc5e15e7a942d514244491ff020a87105ac3328e08e9d4ce79",48,0,0,0,45,0,475,1.9,8,6.7,3205,12.2,5792,650,479,17,0
"/Benign/a21870a6cb82d7c7237dca09b3f5f5f84e4d6ed3ccf09760f803015e77289ab0",10,0,0,0,15,0,61,1.0,5,4.5,275,7.2,438,400,316,13,44
"/Benign/ca63f13d10e7e8dd74fa3a79926214d061ea9db5b972c06b88d4fdf72789b19a",29,0,0,0,47,0,304,1.5,5,5.1,1556,8.6,2614,390,532,21,72
"/Benign/26e2902c2bb7be3d2971179bfe76cd990c85af42231f62b2a2acab055a81dd18",14,0,0,0,32,0,167,1.8,7,7.5,1255,14.3,2389,325,332,12,42
"/Benign/1a4fe906cfa5062b0a5466c156a41f96fa38e67f795411f4818743912ffc5f4e",39,0,0,0,49,0,473,2.7,10,12.2,5789,25.0,11807,664,388,19,0
"/Benign/fe46d9f93f7a94f165c953753e299b9194e367039857d799773b031d2d591a9d",20,0,0,0,20,0,218,1.8,7,7.3,1582,11.5,2506,421,404,12,43
"/Benign/0ea38c6582a243df8be7515ac34474bc2de436c3abcbd3c64d52791978943818",0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1944,413,0,43
"/Benign/7de9bc11aef5c5b4f14203d086f6280ecfe2ff719b61b6c5ce18f87b7775f5d0",70,1,0,0,50,0,622,2.0,8,8.0,4978,13.9,8665,1442,470,13,55
"/Benign/f44bb2b434ba75439db95eb478160d88e64accd3e04a320df7720bdb627ff27c",10,0,0,0,10,0,88,1.5,6,5.7,503,12.3,1079,118,303,12,41
"/Benign/0c750015fe92d6a985ee24b19b4b4f4c6ea277de72290c21fe9825c58761ef5e",15,0,0,0,8,0,120,1.8,5,5.9,708,9.6,1150,235,171,6,43
"/Benign/6f04a51d68d41645b92fc14653f7722840d9ba059e36601c2b3942b0fd6852d1",0,0,0,0,2,0,13,2.8,6,11.2,145,21.9,285,111,14,4,42
"/Benign/f76dd92b3b9e52f1940d1fd700068759531dcc002761382401b6eedff0a12786",18,0,0,0,18,0,85,1.2,4,4.3,364,7.0,599,70,362,15,70
"/Benign/575ace8cf94c066c6e9fb2d862844b743b9b48fb2eda107502273d893300e3f3",0,0,0,0,1,0,34,1.3,3,4.6,158,5.8,198,106,23,6,41
"/Benign/4e48e82a12b02fcf8b036f08dcc285f528664f99dca3a30e79f6bc3f203d1f80",27,0,0,0,36,0,188,1.5,5,5.3,992,9.8,1845,191,395,15,4
"/Benign/def51d83ab2e25fd44c8875ca263f5d2ae41a43541ac2fa8d4a04231a8a153bd",20,0,0,0,22,0,190,1.7,6,7.6,1448,12.8,2437,296,436,14,7
"/Benign/6c67879b93db582f0a3e56393b8cdf72be2a396772cc4b58402fa9910b30e005",15,0,0,0,16,0,99,1.5,5,5.8,572,8.3,826,1818,256,13,41
"/Benign/9b8fc78525b6849e789949fe7a9fcb5685bdba23f42d2e518b3583c2e75949ba",0,0,0,0,1,0,25,1.8,5,9.7,242,12.3,307,106,5,5,41
"/Benign/eb70886093ea94c71cf2fc8d20b65bca6aae24a64d6f795c530ec78c38815121",0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,513,465,0,51
"/Benign/148d357e54ca79bd6ec1b20e6134d5cfe7ef54a7ea6d76d3d89ea7eb71cd0188",14,4,0,0,33,0,76,1.2,5,5.2,392,10.5,798,79,334,15,71
"/Benign/c420796d4487a0145dbf5b2dada86a1f3894b87de4d8ff159cbbee8c0246ec66",30,0,0,4,37,0,249,2.0,7,8.5,2105,16.9,4213,198,427,13,52
"/Benign/3fb7afcd12ceee3ab22cf9f5bdf2e6ae3aeaa8feb81aad7668fb668717f0d8e7",0,0,0,0,1,0,7,1.9,3,6.4,45,12.0,84,11,1,5,0
"/Benign/7d17d6460a42ae3b67c3ff4e8ad995a20e8afe7755ad74c7d81f673b2d757ff2",44,0,0,0,33,0,538,2.3,11,9.5,5123,18.1,9764,1241,383,18,41
"/Benign/92384e57d07cccafe55c43383337f0100d481a07011461644b6fbc3a969032e9",21,0,0,0,23,0,164,1.5,5,6.1,1006,11.3,1850,468,400,18,71
"/Benign/a2fd5197624f4b9e1f5f36e8538308dfab1c9a9ee56b8bd4cfbe53d6baaf3870",23,0,0,0,25,0,81,1.4,7,6.5,524,13.9,1122,93,344,12,70
"/Benign/77d4c627e6023edfe2af1e25d5dce056a0e2a2335ccd7ccc9f177f7548fda129",32,0,0,0,6,0,334,1.8,7,6.9,2304,12.5,4172,598,168,18,43
"/Benign/c880d843f3855c577d12e2f64670966de723ceb4e9e6faae22a6d48c7fafef9a",14,0,0,0,17,0,140,2.2,8,10.5,1474,21.3,2979,301,341,18,40
"/Benign/27bb67cad9a061481623c58c104310611c647f2190e2d3d5ab8cab7b6a97aecb",29,0,0,0,50,0,368,2.3,8,8.4,3100,15.9,5839,800,444,16,51
"/Benign/12e6a20c583b926aa876828d0dbe8bce25d7bdb21c48f1478c77aedfdb886217",8,0,0,0,2,0,94,2.2,6,10.6,993,16.3,1531,345,6,5,40
"/Benign/5aceecb808c1b95d78aca6879cd008fa0f499fa0a2f20ed3adebfb0e88658879",64,0,0,0,56,0,452,1.5,7,4.9,2193,8.6,3902,1087,683,16,75
"/Benign/3bb1465b99236f0f574cd14c6556356a4d6e18feb42095063190c4330dabaf4f",0,0,0,0,1,0,4,1.8,3,7.5,30,15.5,62,56,7,5,40
"/Benign/53bbb72ada45024fa52cb9ba21179eb09922d7d869e4d68d005730773ffde05e",0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,35,0,205,71
"/Benign/539fcb3343fb6f88b9d718494b1db4014c39274c27557fb2bf671b6cadedf1eb",28,0,0,0,21,0,252,1.8,8,7.1,1799,13.7,3451,423,390,24,42
"/Benign/777d5634dede78aeaf9348e4675a1f45c9a3930b4d33fc66b7d924ee41d5beba",0,0,0,0,4,0,21,1.6,6,9.7,203,21.0,442,1,4,3,0
"/Benign/d50fd989b08c511bf5377aac916b3181a04a9206c5cf8cf85322b520bb80c9d5",26,0,0,0,39,0,395,1.8,5,7.9,3127,11.8,4676,1359,508,19,52
"/Benign/83862fec56257e220e0b38bfdcbcf25e7607500a7a87d768872f3cd5f129cd2f",0,0,0,0,1,0,9,0.9,2,3.8,34,4.0,36,45,7,7,40
"/Benign/38bebda4ef6ee4b9418a83262c05f4a4903f43c81cd903a3064561d2de6cbf74",19,0,0,0,28,0,303,1.9,8,7.0,2118,11.7,3558,1372,486,26,72
"/Benign/0b3d1a1912ae0ccf1365881ec667de2d6cc29a1addce20aa5871c775d86232cf",9,0,0,0,1,0,32,2.4,6,7.3,234,14.1,451,137,6,5,42
"/Benign/80f56728b62e2e92ef0fba8011aacd4d905b05bd507ae640e11c9f76c80ff29c",31,0,0,12,79,1,544,1.9,7,7.2,3903,12.1,6600,1141,564,16,71
"/Benign/29e6b6a4e9e0542887f7641b759c3b8fba804149a92486e5a04f3887cacbb846",0,0,0,0,0,0,1,1.0,1,4.0,4,4.0,4,2,0,1,0
"/Benign/fb1eae910151dce9169a86765bb0cb70a19e4ab2b0f8bb10c7295a506f4cb732",4,0,0,0,30,0,154,2.0,9,7.2,1102,14.2,2188,1423,172,12,75
"/Benign/09b73df8c1a649a7a41ac727b1f6892b791244445a1a73a1fab2228d7b9b9ff5",29,0,0,4,125,0,435,1.7,7,6.0,2601,8.3,3604,1122,1113,25,73
